latitude	longitude	name	display_name
51.2085526	3.226772	Brugge	Brugge, West-Vlaanderen, Vlaanderen, België / Belgique / Belgien
49.0195333	12.0974869	Regensburg	Regensburg, Bayern, Deutschland
53.0758196	8.8071646	Bremen	Bremen, Deutschland
52.07494555	4.2696802205364515	Den Haag	Den Haag, Zuid-Holland, Nederland
53.58646755	9.777669726868917	Altona	Altona, Hamburg, Deutschland
48.2083537	16.3725042	Wien	Wien, Österreich
53.550341	10.000654	Hambourg	Hamburg, Deutschland
54.3482907	18.6540233	Gdańsk	Gdańsk, województwo pomorskie, Polska
53.866444	10.684738	Lübeck	Lübeck, Markt, Innenstadt, Lübeck, Schleswig-Holstein, 23552, Deutschland
52.3412273	14.549452	Frankfurt an der Oder	Frankfurt (Oder), Brandenburg, Deutschland
52.3412273	14.549452	Frankfurt a/d Oder	Frankfurt (Oder), Brandenburg, Deutschland
48.5112961	14.5047566	Freistadt	Freistadt, Bezirk Freistadt, Oberösterreich, 4240, Österreich
41.8933203	12.4829321	Rome	Roma, Roma Capitale, Lazio, Italia
50.4549568	3.951958	Mons	Mons, Hainaut, Wallonie, 7000, België / Belgique / Belgien
49.8941708	2.2956951	Amiens	Amiens, Somme, Hauts-de-France, France métropolitaine, France
50.6450944	5.5736112	Liège	Liège, Wallonie, 4000, België / Belgique / Belgien
48.93560465	2.0917742569617808	Saint Germain en Laye	Saint-Germain-en-Laye, Yvelines, Île-de-France, France métropolitaine, 78100, France
51.79869275	6.1449935248722	Kleve	Kleve, Bedburg-Hau, Kreis Kleve, Nordrhein-Westfalen, 47533, Deutschland
44.2957339	12.0181633	Villafranca	Villafranca, Forlì, Unione di Comuni della Romagna Forlivese, Forlì-Cesena, Emilia-Romagna, Italia
51.6576909	6.617087	Wezel	Wesel, Kreis Wesel, Nordrhein-Westfalen, Deutschland
51.7520131	-1.2578499	Oxford	Oxford, Oxfordshire, England, United Kingdom
52.0859261	4.8832939	Woerden	Woerden, Utrecht, Nederland
50.9524769	1.8538446	Calais	Calais, Pas-de-Calais, Hauts-de-France, France métropolitaine, 62100, France
53.96565785	-1.0743052444639218	York	York, England, United Kingdom
51.7581242	6.3956605	Rees	Rees, Kreis Kleve, Nordrhein-Westfalen, 46459, Deutschland
52.9003769	5.3995749	Molkwerum	Molkwerum, Súdwest-Fryslân, Fryslân, Nederland
54.0392202	11.6200209	Raków	Rakow, Am Salzhaff, Neubukow-Salzhaff, Landkreis Rostock, Mecklenburg-Vorpommern, Deutschland
50.6750443	21.0423365	Rakau	Raków, gmina Raków, powiat kielecki, województwo świętokrzyskie, Polska
59.2133614	10.9361604	Fredrikstad	Fredrikstad, Viken, Norge
53.787927	9.4238157	Glückstadt	Glückstadt, Kreis Steinburg, Schleswig-Holstein, 25348, Deutschland
49.8851869	8.6736295	Darmstadt	Darmstadt, Hessen, Deutschland
51.2254018	6.7763137	Düsseldorf	Düsseldorf, Nordrhein-Westfalen, Deutschland
50.2005518	8.580452	Oberursel	Oberursel, Hochtaunuskreis, Hessen, 61440, Deutschland
47.3900474	0.6889268	Tours	Tours, Indre-et-Loire, Centre-Val de Loire, France métropolitaine, France
51.0493286	13.7381437	Dresden	Dresden, Sachsen, Deutschland
45.4371908	12.3345898	Venezia	Venezia, Veneto, 30121-30176, Italia
51.6889387	5.303116	Den Bosch	's-Hertogenbosch, Noord-Brabant, Nederland
43.8374249	4.3600687	Nîmes	Nîmes, Gard, Occitanie, France métropolitaine, France
50.9777974	11.0287364	Erfurt	Erfurt, Thüringen, Deutschland
52.1315889	11.6399609	Magdeburg	Magdeburg, Sachsen-Anhalt, Deutschland
52.1315889	11.6399609	Maagdenburg	Magdeburg, Sachsen-Anhalt, Deutschland
50.776351	6.083862	Aachen	Aachen, Städteregion Aachen, Nordrhein-Westfalen, Deutschland
50.776351	6.083862	Aken	Aachen, Städteregion Aachen, Nordrhein-Westfalen, Deutschland
50.0012314	8.2762513	Mainz	Mainz, Rheinland-Pfalz, Deutschland
52.1479842	7.3392179	Burgsteinfurt	Burgsteinfurt, Steinfurt, Kreis Steinfurt, Nordrhein-Westfalen, 48565, Deutschland
53.5942039	7.2067435	Norden	Norden, Landkreis Aurich, Niedersachsen, 26506, Deutschland
53.4836831	7.0637655	Pilsum	Pilsum, Krummhörn, Landkreis Aurich, Niedersachsen, 26736, Deutschland
49.453872	11.077298	Nürnberg	Nürnberg, Bayern, Deutschland
54.51851	9.5653284	Schleswig	Schleswig, Schleswig-Flensburg, Schleswig-Holstein, 24837, Deutschland
44.4938203	11.3426327	Bologna	Bologna, Emilia-Romagna, Italia
52.1662661	4.8270914	Noorden	Noorden, Nieuwkoop, Zuid-Holland, Nederland
